% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.016	1	1	2	7	1	28	2292
0.115	1	1	12	6	1	28	2292
0.215	1	1	22	6	1	28	2292
0.315	1	1	32	6	1	28	2292
0.415	1	1	42	6	1	28	2292
0.515	1	1	52	6	1	28	2292
0.615	1	1	62	6	1	28	2292
0.715	1	1	72	6	1	28	2292
0.815	1	1	82	6	1	28	2292
0.915	1	1	92	6	1	28	2292
1.015	1	1	102	6	1	28	2292
1.115	1	1	112	6	1	28	2292
1.215	1	1	122	6	1	28	2292
1.315	1	1	132	6	1	28	2292
1.415	1	1	142	6	1	28	2292
1.515	1	1	152	6	1	28	2292
1.615	1	1	162	6	1	28	2292
