SINR[59][1]=0.00518291 and in dB, it is -22.8543
SINR[59][2]=0.408324 and in dB, it is -3.88995
SINR[60][1]=0.000515325 and in dB, it is -32.8792
SINR[60][2]=0.106536 and in dB, it is -9.72505
SINR[61][1]=0.0119473 and in dB, it is -19.2273
SINR[61][2]=18.8415 and in dB, it is 12.7511
SINR[62][1]=0.000570493 and in dB, it is -32.4375
SINR[62][2]=0.128168 and in dB, it is -8.92222
SINR[63][1]=0.00212216 and in dB, it is -26.7322
SINR[63][2]=0.550563 and in dB, it is -2.59193
SINR[64][1]=0.00391964 and in dB, it is -24.0675
SINR[64][2]=1.32428 and in dB, it is 1.21979
SINR[65][1]=0.000972076 and in dB, it is -30.123
SINR[65][2]=0.259907 and in dB, it is -5.85183
SINR[66][1]=4.90577 and in dB, it is 6.90707
SINR[66][2]=0.384871 and in dB, it is -4.14684
SINR[67][1]=0.00138721 and in dB, it is -28.5786
SINR[67][2]=0.196982 and in dB, it is -7.05574
SINR[68][1]=0.00087195 and in dB, it is -30.5951
SINR[68][2]=0.297698 and in dB, it is -5.26224
SINR[69][1]=0.000377293 and in dB, it is -34.2332
SINR[69][2]=0.0606809 and in dB, it is -12.1695
SINR[70][1]=0.00214244 and in dB, it is -26.6909
SINR[70][2]=0.48026 and in dB, it is -3.18523
SINR[71][1]=0.0262091 and in dB, it is -15.8155
SINR[71][2]=0.157192 and in dB, it is -8.03571
SINR[72][1]=0.0132143 and in dB, it is -18.7895
SINR[72][2]=0.114743 and in dB, it is -9.40273
SINR[73][1]=0.00653644 and in dB, it is -21.8466
SINR[73][2]=4.97054 and in dB, it is 6.96404
SINR[74][1]=0.00137732 and in dB, it is -28.6096
SINR[74][2]=0.130506 and in dB, it is -8.84371
SINR[75][1]=0.020866 and in dB, it is -16.8056
SINR[75][2]=502.421 and in dB, it is 27.0107
SINR[76][1]=0.00268094 and in dB, it is -25.7171
SINR[76][2]=0.0882128 and in dB, it is -10.5447
SINR[77][1]=0.00398244 and in dB, it is -23.9985
SINR[77][2]=0.0780395 and in dB, it is -11.0769
SINR[78][1]=0.0011829 and in dB, it is -29.2705
SINR[78][2]=0.364942 and in dB, it is -4.37776
SINR[79][1]=0.173383 and in dB, it is -7.60994
SINR[79][2]=2.73236 and in dB, it is 4.36537
SINR[80][1]=0.00428897 and in dB, it is -23.6765
SINR[80][2]=0.437666 and in dB, it is -3.58857
SINR[81][1]=0.0184673 and in dB, it is -17.336
SINR[81][2]=0.200269 and in dB, it is -6.98386
SINR[82][1]=0.00186595 and in dB, it is -27.291
SINR[82][2]=0.564561 and in dB, it is -2.48289
SINR[83][1]=0.00361157 and in dB, it is -24.423
SINR[83][2]=3.81669 and in dB, it is 5.81686
SINR[84][1]=0.353688 and in dB, it is -4.5138
SINR[84][2]=1.23263 and in dB, it is 0.908336
SINR[85][1]=0.00213638 and in dB, it is -26.7032
SINR[85][2]=0.225807 and in dB, it is -6.46262
SINR[86][1]=0.0650148 and in dB, it is -11.8699
SINR[86][2]=28.0163 and in dB, it is 14.4741
SINR[87][1]=6.7292 and in dB, it is 8.27964
SINR[87][2]=0.224243 and in dB, it is -6.49281
SINR[88][1]=0.00782987 and in dB, it is -21.0625
SINR[88][2]=0.243431 and in dB, it is -6.13624
SINR[89][1]=0.0099043 and in dB, it is -20.0418
SINR[89][2]=0.137969 and in dB, it is -8.60219
SINR[90][1]=0.00111362 and in dB, it is -29.5326
SINR[90][2]=0.414578 and in dB, it is -3.82394
SINR[91][1]=0.00270438 and in dB, it is -25.6793
SINR[91][2]=0.101199 and in dB, it is -9.94824
SINR[92][1]=0.0031298 and in dB, it is -25.0448
SINR[92][2]=1.5928 and in dB, it is 2.02162
SINR[93][1]=0.534901 and in dB, it is -2.71727
SINR[93][2]=0.306017 and in dB, it is -5.14255
SINR[94][1]=0.0419141 and in dB, it is -13.7764
SINR[94][2]=0.156891 and in dB, it is -8.04402
SINR[95][1]=0.00120752 and in dB, it is -29.1811
SINR[95][2]=0.518084 and in dB, it is -2.85599
SINR[96][1]=0.000973411 and in dB, it is -30.117
SINR[96][2]=0.126527 and in dB, it is -8.97815
SINR[97][1]=0.128115 and in dB, it is -8.92401
SINR[97][2]=0.679982 and in dB, it is -1.67502
SINR[98][1]=0.000883188 and in dB, it is -30.5395
SINR[98][2]=0.148317 and in dB, it is -8.28809
SINR[99][1]=0.00034942 and in dB, it is -34.5665
SINR[99][2]=0.0518613 and in dB, it is -12.8516
SINR[100][1]=0.0159738 and in dB, it is -17.9659
SINR[100][2]=176.499 and in dB, it is 22.4674
SINR[101][1]=0.000354378 and in dB, it is -34.5053
SINR[101][2]=0.0549337 and in dB, it is -12.6016
SINR[102][1]=0.00591309 and in dB, it is -22.2819
SINR[102][2]=0.0809337 and in dB, it is -10.9187
SINR[103][1]=0.0198885 and in dB, it is -17.014
SINR[103][2]=1.67186 and in dB, it is 2.23199
SINR[104][1]=0.057892 and in dB, it is -12.3738
SINR[104][2]=0.178875 and in dB, it is -7.4745
SINR[105][1]=0.00356569 and in dB, it is -24.4786
