% time	cellId	IMSI	RNTI	sinrLinear
0.177	1	7	7	4.07638e+11
0.178	1	8	8	6.45096e+11
0.179	1	9	9	8.95603e+11
0.18	1	10	10	1.7878e+12
0.181	1	1	1	8.20368e+11
0.182	1	2	2	8.62236e+11
0.183	1	3	3	1.15739e+12
0.184	1	4	4	3.07469e+11
0.185	1	5	5	1.39246e+12
0.186	1	6	6	5.32708e+11
0.187	1	7	7	5.86855e+11
0.188	1	8	8	8.5564e+11
0.189	1	9	9	8.34949e+11
0.19	1	10	10	1.56402e+12
0.191	1	1	1	9.00831e+11
0.192	1	2	2	8.61613e+11
0.193	1	3	3	1.03432e+12
0.194	1	4	4	2.21464e+11
0.195	1	5	5	1.12973e+12
0.196	1	6	6	5.27853e+11
0.197	1	7	7	7.93949e+11
0.198	1	8	8	1.13824e+12
0.199	1	9	9	7.68794e+11
0.2	1	10	10	1.37711e+12
0.201	1	1	1	1.00365e+12
0.202	1	2	2	8.07121e+11
0.203	1	3	3	8.49195e+11
0.204	1	4	4	2.10523e+11
0.205	1	5	5	7.92199e+11
0.206	1	6	6	6.83917e+11
0.207	1	7	7	9.78749e+11
0.208	1	8	8	1.38435e+12
0.209	1	9	9	7.20254e+11
0.21	1	10	10	1.2366e+12
0.211	1	1	1	1.10884e+12
0.212	1	2	2	6.99376e+11
0.213	1	3	3	6.44732e+11
0.214	1	4	4	2.64859e+11
0.215	1	5	5	4.82933e+11
0.216	1	6	6	1.01803e+12
0.217	1	7	7	1.08815e+12
0.218	1	8	8	1.49637e+12
0.219	1	9	9	7.01469e+11
0.22	1	10	10	1.13673e+12
0.221	1	1	1	1.19175e+12
0.222	1	2	2	5.57575e+11
0.223	1	3	3	4.65367e+11
0.224	1	4	4	3.55576e+11
0.225	1	5	5	2.88268e+11
0.226	1	6	6	1.50266e+12
0.227	1	7	7	1.08211e+12
0.228	1	8	8	1.42784e+12
0.229	1	9	9	7.11968e+11
0.23	1	10	10	1.0648e+12
0.231	1	1	1	1.22519e+12
0.232	1	2	2	4.15307e+11
0.233	1	3	3	3.42896e+11
0.234	1	4	4	4.45349e+11
0.235	1	5	5	2.51214e+11
0.236	1	6	6	2.06704e+12
0.237	1	7	7	9.49067e+11
0.238	1	8	8	1.19137e+12
0.239	1	9	9	7.39495e+11
0.24	1	10	10	1.0087e+12
0.241	1	1	1	1.19198e+12
0.242	1	2	2	3.13457e+11
0.243	1	3	3	2.89205e+11
0.244	1	4	4	5.00302e+11
0.245	1	5	5	3.58672e+11
0.246	1	6	6	2.61081e+12
0.247	1	7	7	7.17081e+11
0.248	1	8	8	8.6078e+11
0.249	1	9	9	7.64045e+11
0.25	1	10	10	9.57314e+11
0.251	1	1	1	1.09211e+12
0.252	1	2	2	2.89888e+11
0.253	1	3	3	2.98084e+11
0.254	1	4	4	5.04408e+11
0.255	1	5	5	5.50843e+11
0.256	1	6	6	3.02428e+12
0.257	1	7	7	4.44671e+11
0.258	1	8	8	5.37904e+11
0.259	1	9	9	7.64477e+11
0.26	1	10	10	9.08692e+11
0.261	1	1	1	9.4306e+11
0.262	1	2	2	3.66122e+11
0.263	1	3	3	3.51435e+11
0.264	1	4	4	4.61917e+11
0.265	1	5	5	7.45955e+11
0.266	1	6	6	3.22447e+12
0.267	1	7	7	2.0883e+11
0.268	1	8	8	3.15156e+11
0.269	1	9	9	7.28398e+11
0.27	1	10	10	8.63677e+11
0.271	1	1	1	7.75752e+11
0.272	1	2	2	5.38349e+11
0.273	1	3	3	4.28847e+11
0.274	1	4	4	4.01087e+11
0.275	1	5	5	8.72582e+11
0.276	1	6	6	3.17686e+12
0.277	1	7	7	7.92984e+10
0.278	1	8	8	2.45851e+11
0.279	1	9	9	6.56138e+11
0.28	1	10	10	8.24822e+11
0.281	1	1	1	6.28618e+11
0.282	1	2	2	7.75832e+11
0.283	1	3	3	5.14441e+11
0.284	1	4	4	3.5874e+11
0.285	1	5	5	8.96048e+11
0.286	1	6	6	2.89852e+12
0.287	1	7	7	9.61491e+10
0.288	1	8	8	3.28041e+11
0.289	1	9	9	5.59233e+11
0.29	1	10	10	7.94333e+11
0.291	1	1	1	5.3308e+11
0.292	1	2	2	1.02777e+12
0.293	1	3	3	5.99495e+11
0.294	1	4	4	3.68058e+11
0.295	1	5	5	8.3088e+11
0.296	1	6	6	2.46441e+12
0.297	1	7	7	2.56438e+11
0.298	1	8	8	5.09515e+11
0.299	1	9	9	4.62417e+11
0.3	1	10	10	7.70982e+11
0.301	1	1	1	5.0642e+11
0.302	1	2	2	1.23742e+12
0.303	1	3	3	6.82997e+11
0.304	1	4	4	4.45182e+11
0.305	1	5	5	7.25324e+11
0.306	1	6	6	1.97686e+12
0.307	1	7	7	5.1452e+11
0.308	1	8	8	7.10391e+11
0.309	1	9	9	3.94067e+11
0.31	1	10	10	7.54052e+11
0.311	1	1	1	5.42701e+11
0.312	1	2	2	1.35644e+12
0.313	1	3	3	7.61401e+11
0.314	1	4	4	5.80954e+11
0.315	1	5	5	6.45048e+11
0.316	1	6	6	1.53998e+12
0.317	1	7	7	7.94815e+11
0.318	1	8	8	8.55244e+11
0.319	1	9	9	3.80346e+11
0.32	1	10	10	7.46914e+11
0.321	1	1	1	6.15312e+11
0.322	1	2	2	1.35822e+12
0.323	1	3	3	8.26306e+11
0.324	1	4	4	7.41669e+11
0.325	1	5	5	6.42355e+11
0.326	1	6	6	1.2298e+12
0.327	1	7	7	1.0201e+12
0.328	1	8	8	8.99356e+11
0.329	1	9	9	4.35215e+11
0.33	1	10	10	7.56296e+11
0.331	1	1	1	6.86954e+11
0.332	1	2	2	1.24693e+12
0.333	1	3	3	8.64355e+11
0.334	1	4	4	8.80475e+11
0.335	1	5	5	7.34969e+11
0.336	1	6	6	1.07339e+12
0.337	1	7	7	1.13361e+12
0.338	1	8	8	8.49091e+11
0.339	1	9	9	5.54732e+11
0.34	1	10	10	7.91204e+11
0.341	1	1	1	7.2081e+11
0.342	1	2	2	1.05658e+12
0.343	1	3	3	8.58867e+11
0.344	1	4	4	9.50732e+11
0.345	1	5	5	9.01412e+11
0.346	1	6	6	1.05163e+12
0.347	1	7	7	1.11862e+12
0.348	1	8	8	7.46437e+11
0.349	1	9	9	7.15955e+11
0.35	1	10	10	8.57388e+11
0.351	1	1	1	6.92547e+11
0.352	1	2	2	8.38326e+11
0.353	1	3	3	7.98296e+11
0.354	1	4	4	9.24187e+11
0.355	1	5	5	1.08788e+12
0.356	1	6	6	1.10976e+12
0.357	1	7	7	1.00387e+12
0.358	1	8	8	6.56208e+11
0.359	1	9	9	8.83358e+11
0.36	1	10	10	9.50184e+11
0.361	1	1	1	5.99014e+11
0.362	1	2	2	6.51426e+11
0.363	1	3	3	6.86378e+11
0.364	1	4	4	8.05928e+11
0.365	1	5	5	1.23008e+12
0.366	1	6	6	1.17664e+12
0.367	1	7	7	8.46317e+11
0.368	1	8	8	6.35197e+11
0.369	1	9	9	1.01565e+12
0.37	1	10	10	1.05723e+12
0.371	1	1	1	4.57758e+11
0.372	1	2	2	5.43002e+11
0.373	1	3	3	5.42757e+11
0.374	1	4	4	6.29581e+11
0.375	1	5	5	1.27781e+12
0.376	1	6	6	1.19392e+12
0.377	1	7	7	7.11737e+11
0.378	1	8	8	7.09284e+11
0.379	1	9	9	1.07929e+12
0.38	1	10	10	1.15526e+12
0.381	1	1	1	3.02567e+11
0.382	1	2	2	5.40204e+11
0.383	1	3	3	4.02553e+11
0.384	1	4	4	4.53753e+11
0.385	1	5	5	1.21066e+12
0.386	1	6	6	1.1294e+12
0.387	1	7	7	6.50741e+11
0.388	1	8	8	8.64479e+11
0.389	1	9	9	1.05625e+12
0.39	1	10	10	1.21584e+12
0.391	1	1	1	1.73823e+11
0.392	1	2	2	6.45118e+11
0.393	1	3	3	3.07039e+11
0.394	1	4	4	3.39191e+11
0.395	1	5	5	1.04234e+12
0.396	1	6	6	9.8344e+11
0.397	1	7	7	6.77633e+11
0.398	1	8	8	1.05231e+12
0.399	1	9	9	9.47437e+11
0.4	1	10	10	1.21727e+12
0.401	1	1	1	1.03291e+11
0.402	1	2	2	8.34547e+11
0.403	1	3	3	2.92886e+11
0.404	1	4	4	3.31406e+11
0.405	1	5	5	8.16677e+11
0.406	1	6	6	7.87656e+11
0.407	1	7	7	7.68238e+11
0.408	1	8	8	1.20791e+12
0.409	1	9	9	7.76651e+11
0.41	1	10	10	1.15e+12
0.411	1	1	1	1.05534e+11
0.412	1	2	2	1.06835e+12
0.413	1	3	3	3.79335e+11
0.414	1	4	4	4.44451e+11
0.415	1	5	5	5.85171e+11
0.416	1	6	6	5.86685e+11
0.417	1	7	7	8.72211e+11
0.418	1	8	8	1.27732e+12
0.419	1	9	9	5.7978e+11
0.42	1	10	10	1.02184e+12
0.421	1	1	1	1.73016e+11
0.422	1	2	2	1.29982e+12
0.423	1	3	3	5.59959e+11
0.424	1	4	4	6.56817e+11
0.425	1	5	5	3.95241e+11
0.426	1	6	6	4.21662e+11
0.427	1	7	7	9.33545e+11
0.428	1	8	8	1.23327e+12
0.429	1	9	9	3.96697e+11
0.43	1	10	10	8.59415e+11
0.431	1	1	1	2.79729e+11
0.432	1	2	2	1.48599e+12
0.433	1	3	3	8.01214e+11
0.434	1	4	4	9.15241e+11
0.435	1	5	5	2.72692e+11
0.436	1	6	6	3.1949e+11
0.437	1	7	7	9.1781e+11
0.438	1	8	8	1.08219e+12
0.439	1	9	9	2.60844e+11
0.44	1	10	10	6.97519e+11
0.441	1	1	1	3.90169e+11
0.442	1	2	2	1.59762e+12
0.443	1	3	3	1.05152e+12
0.444	1	4	4	1.1548e+12
0.445	1	5	5	2.18953e+11
0.446	1	6	6	2.86093e+11
0.447	1	7	7	8.23339e+11
0.448	1	8	8	8.63958e+11
0.449	1	9	9	1.893e+11
0.45	1	10	10	5.72685e+11
0.451	1	1	1	4.71602e+11
0.452	1	2	2	1.6265e+12
0.453	1	3	3	1.25435e+12
0.454	1	4	4	1.3132e+12
0.455	1	5	5	2.1709e+11
0.456	1	6	6	3.10174e+11
0.457	1	7	7	6.84256e+11
0.458	1	8	8	6.29377e+11
0.459	1	9	9	1.81e+11
0.46	1	10	10	5.11144e+11
0.461	1	1	1	5.02747e+11
0.462	1	2	2	1.57975e+12
0.463	1	3	3	1.36166e+12
0.464	1	4	4	1.35197e+12
0.465	1	5	5	2.42098e+11
0.466	1	6	6	3.7312e+11
0.467	1	7	7	5.57949e+11
0.468	1	8	8	4.28319e+11
0.469	1	9	9	2.19862e+11
0.47	1	10	10	5.17793e+11
0.471	1	1	1	4.83288e+11
0.472	1	2	2	1.48323e+12
0.473	1	3	3	1.352e+12
0.474	1	4	4	1.26846e+12
0.475	1	5	5	2.71843e+11
0.476	1	6	6	4.54226e+11
0.477	1	7	7	4.98025e+11
0.478	1	8	8	2.91381e+11
0.479	1	9	9	2.82183e+11
