% time	cellId	IMSI	RNTI	sinrLinear
0.203	1	3	3	0.675886
0.204	1	4	4	0.0706885
0.205	1	5	5	0.136193
0.206	1	6	6	0.0680424
0.207	1	7	7	0.0613207
0.208	1	8	8	0.058104
0.209	1	9	9	0.0212319
0.21	1	10	10	1.2366e+12
0.211	1	1	1	23.8287
0.212	1	2	2	1.87867
0.213	1	3	3	0.513151
0.214	1	4	4	0.0889334
0.215	1	5	5	0.0830246
0.216	1	6	6	0.101283
0.217	1	7	7	0.0681748
0.218	1	8	8	0.0628056
0.219	1	9	9	0.0206781
0.22	1	10	10	1.13673e+12
0.221	1	1	1	25.6103
0.222	1	2	2	1.49777
0.223	1	3	3	0.370393
0.224	1	4	4	0.119394
0.225	1	5	5	0.0495583
0.226	1	6	6	0.149499
0.227	1	7	7	0.0677963
0.228	1	8	8	0.0599294
0.229	1	9	9	0.0209876
0.23	1	10	10	1.0648e+12
0.231	1	1	1	26.329
0.232	1	2	2	1.1156
0.233	1	3	3	0.272915
0.234	1	4	4	0.149538
0.235	1	5	5	0.0431881
0.236	1	6	6	0.205648
0.237	1	7	7	0.0594611
0.238	1	8	8	0.0500041
0.239	1	9	9	0.0217991
0.24	1	10	10	1.0087e+12
0.241	1	1	1	25.6152
0.242	1	2	2	0.842013
0.243	1	3	3	0.230182
0.244	1	4	4	0.167989
0.245	1	5	5	0.0616619
0.246	1	6	6	0.259748
0.247	1	7	7	0.0449266
0.248	1	8	8	0.0361287
0.249	1	9	9	0.0225227
0.25	1	10	10	9.57314e+11
0.251	1	1	1	23.4691
0.252	1	2	2	0.778701
0.253	1	3	3	0.237249
0.254	1	4	4	0.169368
0.255	1	5	5	0.0946995
0.256	1	6	6	0.300883
0.257	1	7	7	0.0278596
0.258	1	8	8	0.0225769
0.259	1	9	9	0.0225355
0.26	1	10	10	9.08692e+11
0.261	1	1	1	20.2661
0.262	1	2	2	0.98348
0.263	1	3	3	0.279712
0.264	1	4	4	0.155101
0.265	1	5	5	0.128243
0.266	1	6	6	0.3208
