what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1360148802997
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1360148805091
executed,command,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.edit.opendecl",1360148832314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360148832356
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1360148837254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360148837302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360148847939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149048650
activated,editor,org.eclipse.cdt.ui,5.3.0.201106081058,"org.eclipse.cdt.ui.editor.CEditor",1360149073346
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineStart",1360149080634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1360149081277
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1360149081531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1360149082204
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1360149082411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1360149083972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149154877
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149434569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149436821
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149635382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149636989
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149726702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1360149733297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1360149733655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1360149734793
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.textStart",1360149867833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1360149868350
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149868364
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1360149872671
