% time	cellId	IMSI	RNTI	rsrp	sinr
0.00121429	1	1	1	2.22222e-07	1.95907e+12
0.00121429	1	1	1	2.22222e-07	1.95907e+12
0.00121429	1	1	1	2.22222e-07	1.95907e+12
0.00121429	1	1	1	2.22222e-07	1.95907e+12
0.00121429	1	5	2	4.05656e-20	0.214911
0.00121429	1	5	2	4.05656e-20	0.214911
0.00121429	1	5	2	4.05656e-20	0.214911
0.00121429	1	5	2	4.05656e-20	0.214911
0.00121429	2	2	1	2.22222e-07	2.63065e+12
0.00121429	2	2	1	2.22222e-07	2.63065e+12
0.00121429	2	2	1	2.22222e-07	2.63065e+12
0.00121429	2	2	1	2.22222e-07	2.63065e+12
0.00121429	2	3	2	8.15065e-19	8.12382
0.00121429	2	3	2	8.15065e-19	8.12382
0.00121429	2	3	2	8.15065e-19	8.12382
0.00121429	2	3	2	8.15065e-19	8.12382
0.00121429	3	3	1	1.82517e-20	0.0107746
0.00121429	3	3	1	1.82517e-20	0.0107746
0.00121429	3	3	1	1.82517e-20	0.0107746
0.00121429	3	3	1	1.82517e-20	0.0107746
0.00121429	4	4	1	7.52536e-19	11.2506
0.00121429	4	4	1	7.52536e-19	11.2506
0.00121429	4	4	1	7.52536e-19	11.2506
0.00121429	4	4	1	7.52536e-19	11.2506
0.00121429	5	5	1	6.2562e-20	0.432171
0.00121429	5	5	1	6.2562e-20	0.432171
0.00121429	5	5	1	6.2562e-20	0.432171
0.00121429	5	5	1	6.2562e-20	0.432171
0.00321428	1	1	1	2.22222e-07	1.95907e+12
0.00321428	1	1	1	2.22222e-07	1.95907e+12
0.00321428	1	1	1	2.22222e-07	1.95907e+12
0.00321428	1	1	1	2.22222e-07	1.95907e+12
0.00321428	1	5	2	4.05656e-20	0.214911
0.00321428	1	5	2	4.05656e-20	0.214911
0.00321428	1	5	2	4.05656e-20	0.214911
0.00321428	1	5	2	4.05656e-20	0.214911
0.00321428	2	2	1	2.22222e-07	2.63065e+12
0.00321428	2	2	1	2.22222e-07	2.63065e+12
0.00321428	2	2	1	2.22222e-07	2.63065e+12
0.00321428	2	2	1	2.22222e-07	2.63065e+12
0.00321428	2	3	2	8.15065e-19	8.12382
0.00321428	2	3	2	8.15065e-19	8.12382
0.00321428	2	3	2	8.15065e-19	8.12382
0.00321428	2	3	2	8.15065e-19	8.12382
0.00321428	3	3	1	1.82517e-20	0.0107746
0.00321428	3	3	1	1.82517e-20	0.0107746
0.00321428	3	3	1	1.82517e-20	0.0107746
0.00321428	3	3	1	1.82517e-20	0.0107746
0.00321428	4	4	1	7.52536e-19	11.2506
0.00321428	4	4	1	7.52536e-19	11.2506
0.00321428	4	4	1	7.52536e-19	11.2506
0.00321428	4	4	1	7.52536e-19	11.2506
0.00321428	5	5	1	6.2562e-20	0.432171
0.00321428	5	5	1	6.2562e-20	0.432171
0.00321428	5	5	1	6.2562e-20	0.432171
0.00321428	5	5	1	6.2562e-20	0.432171
0.00521428	1	1	1	2.22222e-07	1.95907e+12
0.00521428	1	1	1	2.22222e-07	1.95907e+12
0.00521428	1	1	1	2.22222e-07	1.95907e+12
0.00521428	1	1	1	2.22222e-07	1.95907e+12
0.00521428	1	5	2	4.05656e-20	0.214911
